frame_index,motion_source,tracking_points,rgbd_points,x,y,theta,processing_time_ms
0,bootstrap,0,0,0.0,0.0,0.0,2.913584
1,rgb,10,0,0.0,0.0,-0.042140040546655655,1.837834
2,rgb,6,0,0.0,0.0,-0.07336950860917568,0.253167
3,rgb,9,0,0.0,0.0,-0.07234377681743354,0.362584
4,rgb,11,0,0.044900974667015134,-0.002983701384533111,-0.06635315378662199,0.458542
5,rgb,11,0,0.08980194933403027,-0.005967402769066222,-0.06635315378662199,0.335666
6,rgb,11,0,0.13472091351647622,-0.008666783582537679,-0.060022273915819824,0.19425
7,rgb,10,0,0.17964084908783562,-0.01134995116301417,-0.05966133376932703,0.266125
8,rgb,10,0,0.224574053189106,-0.013800903874426349,-0.05449258055887185,0.23825
9,rgb,10,0,0.269445818746797,-0.017195702209469914,-0.07551170405349694,0.281834
10,rgb,10,0,0.3141249978012824,-0.022559558939215532,-0.11948089193901978,0.210375
11,rgb,9,0,0.3141249978012824,-0.022559558939215532,-0.1700993728300091,0.214958
12,rgb,9,0,0.3141249978012824,-0.022559558939215532,-0.19033609781763516,0.435791
13,rgb,10,0,0.3141249978012824,-0.022559558939215532,-0.23751610223553143,0.398208
14,rgb,10,0,0.3141249978012824,-0.022559558939215532,-0.2795129798760172,0.213625
15,rgb,10,0,0.35737325618957994,-0.034992907095647535,-0.2799385859107133,0.173708
16,rgb,9,0,0.4006369893030441,-0.04737230114733454,-0.2786912652372848,0.185667
17,rgb,10,0,0.4440295075460879,-0.05929242532987179,-0.2680915551900398,0.416583
18,rgb,10,0,0.4874893088400103,-0.07096485744544989,-0.26238781816209666,0.172292
19,rgb,10,0,0.5309645474967344,-0.08257965936975685,-0.26106199642526917,0.232667
20,rgb,10,0,0.5743881125664809,-0.0943861828476265,-0.26547451384249143,0.288875
21,rgb,10,0,0.6167120162696491,-0.10967301297440366,-0.34660571135464124,0.237209
22,rgb,10,0,0.6577233254295548,-0.12819522993109206,-0.42421426690998487,0.225625
23,rgb,9,0,0.6977014037961934,-0.14885323685603286,-0.4769445105630439,0.203791
24,rgb,8,0,0.6977014037961934,-0.14885323685603286,-0.5292782976466697,0.41225
25,rgb,8,0,0.6977014037961934,-0.14885323685603286,-0.5273805511824321,0.511166
26,rgb,9,0,0.6977014037961934,-0.14885323685603286,-0.5114951180003118,0.4475
27,rgb,5,0,0.738299779480504,-0.16826384972105035,-0.4459852324507665,0.33075
28,rgb,9,0,0.779826822547642,-0.1855989209380965,-0.3954503321729135,0.416958
29,rgb,9,0,0.8214950732204795,-0.20259176901796738,-0.38722339548985474,0.284542
30,rgb,8,0,0.8633590843318198,-0.2190964524038909,-0.3755354769236874,0.32325
31,rgb,7,0,0.9047041102380138,-0.23686127249349928,-0.4058216195262503,0.35825
